時間,首次離線時間,IP 位址,設備 ID,設備類型,位置,離線時長(秒)
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.82,2400-42,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.83,2400-43,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.84,2400-44,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.85,2400-45,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.86,2400-46,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.87,2400-47,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.103,May-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.58,2400-18,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.104,May-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.105,May-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.110,Jul-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.113,Aug-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.129,2400-13,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.215,2400-42,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:34:09,172.22.64.42,4730-B01,EQP,K21-9F 區網(64),1197
2026-06-17 16:54:06,2026-06-17 16:34:42,172.22.66.181,3600-P03,EQP,K21-9F 區網(66),1164
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.79,2400-39,EQP,K11-7F 區網(60),2196
